DATA	GSM839353	GSM839354	GSM839355	GSM839356	GSM839357	GSM839358	GSM839359	GSM839360	GSM839361	GSM839362	GSM839363	GSM839364
A1BG	6.817979374	6.741804961	6.633270404	6.779400277	6.90563817	7.031324114	6.776037038	6.738248761	6.57595181	6.741177916	6.731302815	6.730699086
A1BG-AS1	5.62260848	5.517819368	5.39873321	5.599017325	5.757201324	5.581517391	5.64958435	5.338005128	5.673946381	5.755060445	5.782727153	5.488586422
A1CF	3.9838120984999996	4.053266814	4.134396315	4.062114929	3.8950266344999998	3.9150499229999998	3.9386860515	4.0708106275	4.0157351295	3.9294772270000005	3.9585497435	3.7980374815
A2M	4.1377431575	3.915478632	4.1272320985	3.815382606	4.1143881175	4.0611857685	3.9565810905	4.0040456735	3.9169184085	4.0618425049999995	3.6658342125	3.8334646765
A2M-AS1	3.639231965	2.940899976	3.354892023	3.210259119	3.308565868	3.238574726	3.232034642	3.464758446	3.110533536	3.205696609	3.213490256	3.210259119
A2ML1	3.484132077	3.221729011	3.433784077	3.4190536105	3.3323508785	3.453586619	3.4382923895	3.6231504895000004	3.3610035910000002	3.478623688	3.322787807	3.4845758255
A2MP1	4.324741877	4.470527872	4.468484993	4.220009615	4.330077273	4.490063158	4.730134271	4.398314167	4.212598656	4.48661347	4.190198804	4.326450253
A4GALT	6.013559687	6.164444196	6.07647121	6.334108815	6.112933177	6.23924211	6.170794905	6.069999832	6.252487205	6.415595117	6.298050596	6.097208868
A4GNT	5.03104252	4.898631694	4.913946584	5.136006849	5.034984998	4.771565452	4.931787566	4.986834018	4.889124168	5.081694415	4.959684089	5.000622876
AA06	4.499450736	4.28706045	4.46704492	4.48584272	4.54531519	4.55936793	4.258885951	4.839397853	4.399011492	4.408293376	4.451641471	4.420280231
AAAS	7.24479248	7.080473853	7.372578044	7.44084608	7.257561049	7.354524648	7.156529177	7.279580157	7.075880667	7.213116356	7.286689394	7.178813601
AACS	8.865034775	8.7063707	8.646110383	8.850764263	9.034118435	9.239301536	9.091114836	9.021319378	9.047999383	9.240824237	9.16485334	9.187070523
AACSP1	3.208889211	3.02700004	2.924970738	3.105693107	3.095950141	3.14079683	3.173534815	2.893586519	2.986276842	3.390410957	2.981011047	3.060711261
AADAC	4.01001954	4.40244107	4.55817976	4.722553818	4.933127525	5.16495994	5.063456299	5.134492542	6.042195318	5.646659732	5.672559804	5.841967947
AADACL2	2.905905436	3.083638645	3.227603467	3.00516039	3.086689669	3.039278943	3.192269931	3.108414493	2.868521625	2.949752644	2.889769424	3.327875124
AADACP1	4.718013095	4.98814595	4.628487243	5.224630816	6.204754964	6.528446445	6.523958862	6.357977567	6.723418768	6.888242037	6.861828169	6.862350763
AADAT	7.497731073	7.514418623	7.403574073	7.519069255	7.130350036	7.253308673	7.319665876	7.311707655	7.704835124	7.606844384	7.575489108	7.920604038
AAED1	9.732575426	9.744899086	9.779705107	9.767149307	9.365970889	9.52087404	9.436670875	9.419808058	9.183611902	9.179852153	9.255738068	9.250470752
