Gene	Chr	Start	End
OR4F5	1	69091	70008
FO538757.3	1	182393	184158
FO538757.2	1	184923	200322
OR4F29	1	450740	451678
OR4F16	1	685716	686654
SAMD11	1	924880	944581
NOC2L	1	944204	959309
KLHL17	1	960587	965715
PLEKHN1	1	966497	975865
PERM1	1	975204	982093
HES4	1	998962	1000172
ISG15	1	1001138	1014541
AGRN	1	1020123	1056118
RNF223	1	1070966	1074307
C1orf159	1	1081818	1116361
TTLL10	1	1173884	1197935
TNFRSF18	1	1203508	1206691
TNFRSF4	1	1211326	1214138
SDF4	1	1216908	1232031
B3GALT6	1	1232265	1235041
FAM132A	1	1242446	1246722
UBE2J2	1	1253909	1273885
SCNN1D	1	1280436	1292029
ACAP3	1	1292376	1309609
PUSL1	1	1308567	1311677
CPSF3L	1	1311585	1324691
CPTP	1	1324756	1328897
TAS1R3	1	1331314	1335306
DVL1	1	1335276	1349350
MXRA8	1	1352689	1361777
AURKAIP1	1	1373730	1375495
CCNL2	1	1385711	1399328
MRPL20	1	1401908	1407313
ANKRD65	1	1418420	1421769
TMEM88B	1	1426128	1427787
VWA1	1	1434861	1442882
ATAD3C	1	1449689	1470158
ATAD3B	1	1471769	1497848
ATAD3A	1	1512151	1534687
TMEM240	1	1535174	1540453
SSU72	1	1541673	1574869
AL645728.1	1	1579756	1580046
C1orf233	1	1598012	1600096
MIB2	1	1615415	1630610
MMP23B	1	1632095	1701810
CDK11B	1	1635227	1659012
SLC35E2B	1	1659529	1692728
CDK11A	1	1702730	1724324
SLC35E2	1	1724838	1745992
NADK	1	1751232	1780457
GNB1	1	1785285	1891117
CALML6	1	1914827	1917296
TMEM52	1	1917590	1919273
CFAP74	1	1921951	2003837
GABRD	1	2019324	2030751
PRKCZ	1	2050470	2185395
FAAP20	1	2184461	2212720
SKI	1	2228695	2310119
MORN1	1	2321253	2391707
RER1	1	2391775	2405444
PEX10	1	2403964	2413797
PLCH2	1	2425980	2505530
PANK4	1	2508533	2526628
HES5	1	2528745	2530245
TNFRSF14	1	2555639	2565382
FAM213B	1	2586491	2591469
MMEL1	1	2590639	2632990
TTC34	1	2635976	2789755
ACTRT2	1	3021483	3022903
PRDM16	1	3069168	3438621
ARHGEF16	1	3454426	3481113
MEGF6	1	3489920	3611495
TPRG1L	1	3625002	3630127
WRAP73	1	3630767	3652761
TP73	1	3652520	3736201
CCDC27	1	3752398	3771645
SMIM1	1	3772788	3775982
LRRC47	1	3778558	3796504
CEP104	1	3812081	3857214
DFFB	1	3857267	3885429
C1orf174	1	3889125	3900293
AJAP1	1	4654732	4792534
NPHP4	1	5862811	5992473
KCNAB2	1	5991466	6101193
CHD5	1	6101793	6180123
RPL22	1	6181269	6209389
RNF207	1	6205475	6221299
ICMT	1	6221193	6235972
HES3	1	6244192	6245578
GPR153	1	6247346	6260975
ACOT7	1	6264269	6394391
HES2	1	6412418	6424670
ESPN	1	6424788	6461370
TNFRSF25	1	6461151	6466195
PLEKHG5	1	6466092	6520061
NOL9	1	6521347	6554535
TAS1R1	1	6555181	6579757
ZBTB48	1	6580001	6589280
KLHL21	1	6590724	6614607
PHF13	1	6613685	6624033
THAP3	1	6624866	6635586
DNAJC11	1	6634168	6701924
CAMTA1	1	6785324	7769706
VAMP3	1	7771269	7781432
PER3	1	7784320	7845177
UTS2	1	7843083	7853512
TNFRSF9	1	7915894	7943165
PARK7	1	7954291	7985505
ERRFI1	1	8004404	8026308
SLC45A1	1	8317826	8344167
RERE	1	8352397	8817643
ENO1	1	8861002	8879249
CA6	1	8945867	8975092
SLC2A7	1	9003300	9026345
SLC2A5	1	9035107	9088478
GPR157	1	9100305	9129170
H6PD	1	9234775	9271337
SPSB1	1	9292880	9369532
SLC25A33	1	9539482	9585179
TMEM201	1	9588922	9614873
PIK3CD	1	9651732	9729114
CLSTN1	1	9729026	9824526
AL357140.1	1	9827610	9828258
CTNNBIP1	1	9848276	9910336
LZIC	1	9922113	9943407
NMNAT1	1	9943428	9985501
RBP7	1	9997206	10016020
UBE4B	1	10032832	10181239
KIF1B	1	10210805	10381603
PGD	1	10398592	10420144
APITD1-CORT	1	10430102	10452153
APITD1	1	10430443	10442809
CORT	1	10449719	10451902
DFFA	1	10456522	10472526
PEX14	1	10472288	10630758
CASZ1	1	10636604	10796650
C1orf127	1	10946471	10982037
TARDBP	1	11012344	11026420
RP4-635E18.9	1	11012662	11030528
MASP2	1	11026523	11047233
SRM	1	11054584	11060024
EXOSC10	1	11066618	11099881
MTOR	1	11106535	11262507
ANGPTL7	1	11189341	11195981
UBIAD1	1	11273206	11296049
PTCHD2	1	11479166	11537584
FBXO2	1	11648367	11655785
FBXO44	1	11654375	11663327
FBXO6	1	11664124	11674354
MAD2L2	1	11674480	11691650
DRAXIN	1	11691729	11725857
AGTRAP	1	11736084	11754802
C1orf167	1	11761787	11789585
MTHFR	1	11785723	11806920
CLCN6	1	11806096	11843144
NPPA	1	11845709	11848345
NPPB	1	11857464	11858931
KIAA2013	1	11919591	11926428
PLOD1	1	11934205	11975538
MFN2	1	11980181	12013514
MIIP	1	12019466	12032045
TNFRSF8	1	12063377	12144207
TNFRSF1B	1	12167003	12209228
VPS13D	1	12230067	12512047
DHRS3	1	12567910	12617731
AADACL4	1	12644547	12667086
AADACL3	1	12716115	12728759
C1orf158	1	12746215	12763699
PRAMEF12	1	12774841	12777906
PRAMEF1	1	12791397	12796628
PRAMEF11	1	12824605	12831410
HNRNPCL1	1	12847377	12947578
PRAMEF2	1	12857086	12861909
PRAMEF4	1	12879224	12886201
PRAMEF10	1	12892896	12898270
PRAMEF7	1	12916610	12920482
PRAMEF6	1	12938472	13056491
PRAMEF27	1	13049476	13056491
PRAMEF26	1	13049476	13158092
PRAMEF25	1	13060853	13077884
HNRNPCL3	1	13060869	13062229
HNRNPCL2	1	13115496	13116854
HNRNPCL4	1	13164586	13165467
PRAMEF9	1	13172455	13179464
PRAMEF18	1	13222695	13226133
PRAMEF5	1	13254212	13263314
PRAMEF8	1	13281035	13285174
PRAMEF15	1	13303509	13322598
PRAMEF14	1	13342034	13347134
PRAMEF19	1	13369067	13371693
PRAMEF17	1	13389632	13392629
PRAMEF20	1	13410450	13421328
LRRC38	1	13474977	13514048
PDPN	1	13583465	13617957
PRDM2	1	13700198	13825079
KAZN	1	14598704	15118043
TMEM51	1	15152532	15220480
FHAD1	1	15247272	15400283
EFHD2	1	15409895	15430343
CTRC	1	15438439	15449242
CELA2A	1	15456728	15472091
CELA2B	1	15465909	15491400
CASP9	1	15490832	15526534
DNAJC16	1	15526813	15592379
AGMAT	1	15572353	15585110
DDI2	1	15617500	15669044
RSC1A1	1	15659869	15661722
PLEKHM2	1	15684332	15734769
SLC25A34	1	15736405	15741396
TMEM82	1	15742422	15747982
FBLIM1	1	15756607	15786594
